Random-Discrete.parameter, Random-Discrete.points, Adapt-Discrete.parameter, Adapt-Discrete.points
6, 18.20, 0, -0.00
6, 17.00, 0, 4.00
6, 19.10, 0, -3.00
6, 17.30, 0, 3.00
6, 18.20, 0, -0.00
6, 18.20, 0, -0.00
6, 17.00, 0, 4.00
6, 17.30, 0, 3.00
6, 17.60, 0, 2.00
6, 18.20, 0, -0.00
6, 16.70, 0, 5.00
6, 17.60, 0, 2.00
6, 17.60, 0, 2.00
6, 18.50, 0, -1.00
6, 16.70, 0, 5.00
6, 16.70, 0, 5.00
6, 18.20, 0, -0.00
6, 18.50, 0, -1.00
6, 18.50, 0, -1.00
6, 18.20, 0, -0.00
6, 17.90, 0, 1.00
6, 17.60, 0, 2.00
6, 17.90, 0, 1.00
6, 18.20, 0, 0.00
6, 19.40, 0, -4.00
6, 17.60, 0, 2.00
6, 17.60, 0, 2.00
6, 17.90, 0, 1.00
6, 16.70, 0, 5.00
6, 17.90, 0, 1.00
6, 18.20, 0, -0.00
6, 16.40, 0, 6.00
6, 17.90, 0, 1.00
6, 17.00, 0, 4.00
6, 17.30, 0, 3.00
6, 17.90, 0, 1.00
6, 17.90, 0, 1.00
6, 19.10, 0, -3.00
6, 18.80, 0, -2.00
6, 17.60, 0, 2.00
6, 17.60, 0, 2.00
6, 18.20, 0, -0.00
6, 17.60, 0, 2.00
6, 18.20, 0, -0.00
6, 18.20, 0, 0.00
6, 17.60, 0, 2.00
6, 17.60, 0, 2.00
6, 17.30, 0, 3.00
6, 16.10, 0, 7.00
6, 17.30, 0, 3.00
6, 17.60, 0, 2.00
6, 18.20, 0, -0.00
6, 17.90, 0, 1.00
6, 17.30, 0, 3.00
6, 17.90, 0, 1.00
6, 17.30, 0, 3.00
6, 17.60, 0, 2.00
6, 17.60, 0, 2.00
6, 16.70, 0, 5.00
6, 17.30, 0, 3.00
6, 16.70, 0, 5.00
6, 17.30, 0, 3.00
7, 17.00, 0, 4.00
7, 18.50, 0, -1.00
7, 18.20, 0, 0.00
7, 17.90, 0, 1.00
7, 18.20, 0, -0.00
7, 18.50, 0, -1.00
7, 18.20, 0, -0.00
7, 17.90, 0, 1.00
7, 18.80, 0, -2.00
7, 18.50, 0, -1.00
7, 17.30, 0, 3.00
7, 17.60, 0, 2.00
7, 18.80, 0, -2.00
7, 18.20, 0, -0.00
7, 18.50, 0, -1.00
7, 17.60, 0, 2.00
7, 18.50, 0, -1.00
7, 17.60, 0, 2.00
